Date,StoreCode,ProductCode,SalesQuantity
2015-05-07,209,218,1
2015-01-28,50,205,0
2015-03-30,318,293,1
2015-02-28,202,168,4
2015-01-20,287,184,1
2015-01-17,205,205,14
2015-03-18,58,181,2
2015-05-09,108,110,4
2015-03-16,77,84,1
2015-07-28,106,40,0
2015-03-01,279,1,1
2015-03-05,301,279,1
2015-03-10,202,239,0
2015-02-03,13,41,2
2015-04-23,258,214,1
2015-02-02,155,6,0
2015-07-28,48,216,0
2015-05-12,127,175,2
2015-04-05,135,246,5
2015-03-08,276,252,5
2015-07-31,116,219,1
2015-01-20,7,212,1
2015-05-24,117,3,0
2015-07-26,295,41,1
2015-06-19,207,76,1
2015-04-17,103,232,1
2015-03-14,151,250,3
2015-02-17,201,37,2
2015-04-11,265,89,1
2015-04-02,60,129,0
2015-06-02,190,127,0
2015-04-08,330,105,1
2015-06-09,335,221,12
2015-04-29,56,244,5
2015-01-22,51,46,0
2015-07-11,277,288,2
2015-06-30,128,217,2
2015-04-21,291,218,24
2015-05-13,127,130,1
2015-02-12,283,58,0
2015-06-08,293,84,1
2015-04-17,117,222,1
2015-06-15,89,254,3
2015-03-04,141,211,1
2015-02-04,163,50,1
2015-04-08,160,154,1
2015-04-14,338,245,0
2015-07-16,320,288,1
2015-05-13,200,201,1
2015-07-20,236,221,24
2015-07-14,274,154,1
2015-03-23,6,221,0
2015-04-14,168,29,0
2015-02-26,135,142,1
2015-06-24,172,154,0
2015-01-29,18,146,2
2015-04-25,120,84,1
2015-02-10,109,194,1
2015-07-16,187,69,1
2015-06-28,203,105,0
2015-06-11,120,185,1
2015-05-05,279,218,12
2015-07-10,48,158,25
2015-06-07,121,170,1
2015-04-09,205,143,1
2015-03-27,328,288,1
2015-03-31,89,101,2
2015-05-11,291,207,2
2015-04-22,60,105,0
2015-05-07,192,70,0
2015-03-01,57,175,0
2015-04-01,99,243,5
2015-05-13,270,237,0
2015-03-27,111,214,2
2015-05-08,14,221,38
2015-04-20,42,127,1
2015-02-23,300,212,2
2015-03-12,210,294,2
2015-07-19,101,158,1
2015-02-27,48,105,2
2015-02-19,124,200,0
2015-02-21,30,128,1
2015-07-16,177,171,1
2015-04-07,258,149,5
2015-02-26,194,306,1
2015-01-23,319,47,1
2015-03-31,331,40,4
2015-06-04,277,94,0
2015-05-12,316,89,0
2015-02-10,171,189,1
2015-04-14,218,54,2
2015-03-10,58,157,2
2015-03-05,145,145,1
2015-01-13,127,91,2
2015-03-24,149,219,12
2015-03-11,2,70,1
2015-01-14,224,89,1
2015-06-24,256,221,12
2015-05-23,7,242,5
2015-03-20,26,129,1
2015-07-02,238,305,1
2015-05-27,250,37,1
2015-04-06,197,126,0
2015-04-29,46,78,0
2015-04-09,84,232,2
2015-02-26,248,293,1
2015-02-17,217,277,0
2015-05-14,278,156,0
2015-02-23,27,126,0
2015-02-08,321,244,0
2015-03-30,78,48,0
2015-01-29,276,243,1
2015-06-30,316,142,1
2015-03-15,170,129,1
2015-01-21,250,33,0
2015-03-02,15,89,1
2015-04-27,242,185,4
2015-02-28,174,241,4
2015-01-04,263,79,2
2015-05-16,290,221,12
2015-01-07,34,126,1
2015-02-03,24,246,1
2015-06-24,254,169,1
2015-01-12,245,156,1
2015-07-17,41,202,1
2015-03-18,186,232,0
2015-07-14,74,149,1
2015-01-17,32,205,2
2015-06-11,129,220,1
2015-04-06,270,85,1
2015-04-19,274,166,1
2015-03-26,266,197,1
2015-03-15,4,56,0
2015-01-14,17,306,0
2015-05-08,77,189,1
2015-07-10,174,20,1
2015-06-11,96,83,0
2015-05-14,87,153,1
2015-03-25,27,218,0
2015-04-15,52,148,4
2015-03-19,74,144,1
2015-01-21,122,214,12
2015-04-03,175,279,1
2015-05-12,77,245,0
2015-03-21,270,209,3
2015-07-04,22,306,1
2015-01-06,72,167,0
2015-05-28,297,180,2
2015-02-24,340,209,0
2015-01-19,268,141,1
2015-04-29,31,250,0
2015-03-16,209,151,0
2015-03-14,121,305,1
2015-04-09,223,258,1
2015-07-14,177,84,1
2015-02-22,70,37,1
2015-06-13,122,30,1
2015-01-10,275,277,1
2015-07-30,67,208,0
2015-07-28,22,275,0
2015-04-07,120,224,0
2015-02-19,232,206,0
2015-02-13,275,245,5
2015-02-04,314,171,0
2015-01-29,62,138,0
2015-05-24,293,106,0
2015-05-06,112,171,0
2015-07-10,329,217,1
2015-03-14,261,295,1
2015-07-08,274,126,1
2015-05-19,112,95,0
2015-06-17,18,290,1
2015-02-01,117,69,0
2015-01-26,167,218,0
2015-01-05,301,123,1
2015-01-02,285,205,2
2015-03-08,258,47,1
2015-01-22,39,149,2
2015-07-10,239,149,3
2015-05-02,193,266,2
2015-02-02,97,211,1
2015-06-30,11,41,0
2015-04-17,21,220,13
2015-04-07,330,140,0
2015-07-21,4,221,1
2015-06-22,306,166,4
2015-05-12,77,38,0
2015-06-25,193,218,13
2015-01-22,93,188,0
2015-04-03,112,175,1
2015-07-10,335,113,0
2015-04-15,158,179,0
2015-02-18,205,218,0
2015-03-23,251,168,24
2015-02-24,150,224,2
2015-07-24,161,170,12
2015-01-19,281,54,1
2015-07-03,313,249,0
2015-03-19,322,194,1
2015-06-11,337,213,1
